single,singleLabel,releaseDate,genreLabel,performerLabel,citizenshipLabel,youtubeID,viewCountSample,lat,lon,latlon
http://www.wikidata.org/entity/Q117455657,Non litighiamo più,2023-03-31T00:00:00Z,pop music,Rocco Hunt,Italy,iFdDoAfamJY,613005,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118176529,Tilt,2023-05-05T00:00:00Z,electropop,Elisa,Italy,LmJDoG3P6gs,581730,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q124466462,Flavio,2023-05-19T00:00:00Z,indie pop,Gazzelle,Italy,9ZJDCFP76BM,580916,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q124625428,Sofia,2023-09-29T00:00:00Z,pop music,Alfa,Italy,iR6MqL5IX9c,577178,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120262304,M'ama non m'ama,2023-06-13T00:00:00Z,hip hop music,Baby K,Italy,Fz8JQfpW-aw,556620,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q122345722,Zunge,2023-09-08T00:00:00Z,electronic rock,Till Lindemann,Germany,mGrJml5nq0o,548202,51,10,"51, 10"
http://www.wikidata.org/entity/Q127189737,Adamo ed Eva,2023-03-31T00:00:00Z,pop music,Luigi Strangis,Italy,XVt98Kz9LIc,547418,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119495355,Acquamarina,2023-06-14T00:00:00Z,pop music,Ana Mena,Spain,9Pn5X1M8nVk,539091,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q122176928,Il solito lido,2023-06-09T00:00:00Z,pop music,Nek,Italy,XO9QHD0IyRQ,538758,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118802043,Parafulmini,2023-05-26T00:00:00Z,pop music,Fabri Fibra,Italy,M9d__qSt6is,535645,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q117848812,Aspettiamo mattina,2023-03-31T00:00:00Z,pop music,Aiello,Italy,FuTuqxvgPrw,522045,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q127256651,Cicatrice,2023-04-28T00:00:00Z,pop music,Clara,Italy,kdoENwiP8g0,518929,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116258965,Mollami pt. 2,2023-01-13T00:00:00Z,hip hop music,Guè,Italy,ab4PdCyqbTI,508670,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116779388,Ricordati di vivere (il primo battito),2023-01-20T00:00:00Z,pop music,Jovanotti,Italy,EJRUqRekBr0,489306,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q122700411,Durare,2023-09-16T00:00:00Z,pop music,Laura Pausini,Italy,5jeNyo4_bms,454844,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q122956394,Already Over,2023-10-06T00:00:00Z,alternative rock,Mike Shinoda,United States of America,tDWnnsQkNpo,454751,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q119254341,Taxi sulla Luna,2023-06-09T00:00:00Z,pop music,Emma,Italy,pkjzbSA-Gac,454111,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123134281,"Io, me ed altri guai",2023-10-06T00:00:00Z,pop music,Rose Villain,Italy,FLGv5HulDLo,440350,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116771459,Lamette,2023-01-11T00:00:00Z,pop music,Salmo,Italy,2A5vqJg85BM,426218,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q122871822,Nightmares,2023-09-29T00:00:00Z,pop music,Bresh,Italy,Z5rxbWeRIFQ,400870,42.5,12.5,"42.5, 12.5"
